Período;Inflación;Dólar Observado;Indice Actividad Minera;Indice Actividad Industria;Indice Actividad Resto de bienes;Indice Activdad Comercio;Indice Actividad Servicios;TPM;M1;M2;M3;Precio Petróleo (USD);Precio Cobre (USD);IPSA (CLP)
01-03-07;0.004;538.487.727.272.727;10.523.417.704.772;79.838.207.926.872;84.184.702.324.492;6.849.209.051.047;64.611.521.043.645;0.05;173.514.785.826.266;798.431.353.684.605;132.410.417.541.294;65.87;3.144;2929
01-04-07;0.006;532.301;96.546.329.089.391;80.672.668.025.115;72.457.585.817.572;70.372.158.321.662;6.556.575.212.813;0.05;176.736.201.808.304;807.847.968.073.071;1.326.148.909.967;65.71;35.565;3161.22
01-05-07;0.006;522.016.190.476.191;10.251.139.092.695;786.169.292.778;6.485.201.833.712;67.790.622.432.203;66.044.558.119.925;0.05;17.667.759.944.218;815.111.896.411.512;134.107.436.355.315;64.01;33.915;3279.53
01-06-07;0.009;526.719.047.619.048;10.410.202.585.397;76.685.824.997.268;5.792.831.772.951;62.887.669.864.526;65.932.460.345.089;0.05;175.892.264.620.129;821.698.162.883.514;134.695.326.300.548;70.68;34.505;3470.18
01-07-07;0.011;5.198.045;90.147.654.415.793;78.063.339.758.445;55.687.544.039;634.460.820.282;62.445.923.967.109;0.0515;174.855.067.696.025;824.307.012.791.314;134.554.466.360.486;78.21;3.642;3340.43
01-08-07;0.011;522.922.727.272.727;99.261.320.756.383;75.144.099.462.303;53.786.512.711.836;62.966.386.809.767;66.622.068.441.959;0.0542045454545455;172.604.881.129.567;81.726.147.555.135;133.892.959.157.798;74.04;3.403;3310.14
01-09-07;0.011;516.911.176.470.588;10.564.425.409.579;72.412.038.773.384;53.373.861.892.049;60.386.265.311.483;64.843.452.380.423;0.0561764705882353;17.605.453.233.799;8.142.279.768.566;133.453.096.576.762;81.66;3.64;3249
01-10-07;0.003;501.442.727.272.727;10.190.303.604.671;82.547.977.904.029;59.762.218.244.726;69.574.738.219.046;69.576.451.601.642;0.0575;171.434.967.607.829;820.319.751.191.101;134.537.763.607.677;94.53;34.795;3451.18
01-11-07;0.008;506.951.428.571.429;97.037.003.006.128;80.334.191.620.281;63.589.413.667.941;70.262.505.551.142;721.320.557.627;0.0575;177.178.834.280.201;841.594.556.896.688;136.680.536.660.586;88.71;31.785;3204.47
01-12-07;0.005;499.276.842.105.263;11.191.422.587.337;82.649.397.671.067;76.845.597.256.898;86.347.635.051.372;68.748.699.585.679;0.0588157894736842;186.680.139.212.805;868.348.734.460.308;138.544.475.519.614;95.98;3.041;3051.83
01-01-08;0;480.896.363.636.364;93.198.065.572.035;82.601.235.918.942;87.186.211.391.464;71.365.355.631.999;62.732.903.064.706;0.0617045454545455;188.116.782.024.419;883.638.491.148.646;139.841.232.873.805;91.75;3.307;2788.34
01-02-08;0.004;467.217.142.857.143;89.388.069.583.237;80.566.933.735.048;93.997.753.768.566;67.170.945.838.514;59.114.681.843.644;0.0625;186.493.562.231.624;889.672.764.294.263;139.755.227.168.664;101.84;3.855;2836.82
01-03-08;0.008;442.942;97.556.539.795.492;85.222.538.207.718;88.839.979.443.249;74.554.895.572.532;69.865.590.312.155;0.0625;183.948.922.365.045;891.891.929.395.407;139.410.998.122.344;101.58;3.827;2902.02
01-04-08;0.004;446.433.636.363.636;89.616.594.675.128;84.917.543.218.471;77.569.988.890.869;76.776.182.142.717;71.089.434.611.065;0.0625;183.239.704.379.543;899.209.280.909.306;141.180.808.210.077;113.46;39.045;2989.41
01-05-08;0.012;470.1;97.043.430.407.859;80.600.238.266.751;71.584.035.488.286;73.121.218.403.176;71.314.229.819.474;0.0625;186.799.442.991.215;90.117.548.543.812;14.288.851.672.127;127.35;3.606;3048.85
01-06-08;0.015;493.612.380.952.381;98.854.974.739.788;80.834.554.537.777;65.166.409.999.898;68.208.913.231.223;71.091.742.696.258;0.0658333333333333;185.388.984.473.613;890.380.025.514.121;143.237.205.558.176;140;38.825;2999.9
01-07-08;0.011;502.241.363.636.364;9.753.013.264.592;78.792.232.767.325;6.146.631.512.256;67.540.710.235.221;67.201.996.180.913;0.0706818181818182;173.855.122.471.676;875.855.276.202.261;142.650.715.669.025;124.08;3.656;3014.8
01-08-08;0.009;516.702;84.441.679.920.156;76.894.434.810.888;60.471.310.438.848;67.035.885.229.136;71.577.916.874.759;0.075;174.207.579.449.828;876.229.725.612.443;144.279.041.727.946;115.46;33.995;2895.21
01-09-08;0.011;530.17;88.197.653.172.203;76.716.692.759.531;60.373.003.117.132;63.687.281.470.777;69.842.753.014.306;0.0815;174.604.817.490.564;878.561.413.571.554;146.001.619.948.342;100.64;2.879;2753.31
01-10-08;0.009;618.394.545.454.545;97.638.740.993.977;80.440.033.432.591;65.048.271.345.792;70.902.014.194.655;74.043.877.627.849;0.0825;176.869.961.347.567;898.694.433.490.216;147.710.921.257.232;67.81;18.345;2489.59
01-11-08;-0.001;6.515.055;86.819.530.602.613;7.575.225.114.497;67.588.699.624.511;69.858.334.059.843;7.635.647.124.635;0.0825;174.827.473.267.499;919.679.550.781.355;149.653.472.398.304;54.43;1.644;2406.26
01-12-08;-0.012;6.493.165;10.633.673.579.811;79.898.456.767.199;78.905.630.367.369;84.203.193.690.572;71.470.169.623.439;0.0825;185.984.138.544.757;949.147.806.927.238;152.825.938.361.543;44.6;1.41;2376.42
01-01-09;-0.008;623.007.619.047.619;86.916.226.356.794;74.436.012.913.235;8.649.140.878.202;67.499.711.098.321;65.165.050.951.506;0.0748809523809524;18.645.301.147.911;958.268.132.713.526;153.710.339.868.993;41.68;14.755;2549.46
01-02-09;-0.004;605.998;77.520.787.316.827;70.905.962.237.064;90.060.236.334.318;6.233.727.231.936;60.927.545.050.129;0.05875;183.344.934.916.502;952.409.639.178.481;153.913.187.817.674;44.76;15.385;2468.63
01-03-09;0.004;592.931.363.636.364;8.958.819.847.844;80.183.055.469.981;87.404.250.430.499;71.203.814.938.444;7.135.604.446.845;0.0327272727272727;184.503.231.784.688;935.788.689.504.216;15.278.841.347.275;49.66;1.849;2478.94
01-04-09;-0.002;583.175.714.285.714;87.876.882.886.557;78.313.931.949.551;76.654.418.872.141;69.671.723.960.191;71.429.243.385.735;0.0191666666666667;189.076.266.117.952;93.110.491.614.243;153.248.960.631.315;51.12;20.475;2670.78
01-05-09;-0.003;565.717.894.736.842;94.346.276.041.677;74.206.810.014.694;70.875.490.061.633;68.467.362.619.366;7.118.423.530.079;0.0135526315789474;197.291.641.904.944;936.887.681.440.698;154.573.578.415.115;66.31;21.995;3100.42
01-06-09;0.003;553.08;94.974.966.705.938;75.193.381.645.771;65.008.108.815.023;63.483.210.941.747;70.793.759.724.613;0.0103571428571429;201.482.992.539.162;936.303.369.800.843;154.349.663.358.693;69.89;2.272;3090.5
01-07-09;-0.004;540.420.454.545.455;87.587.076.985.181;74.821.521.991.115;63.349.033.124.408;64.071.052.017.393;66.767.543.146.975;0.00579545454545455;20.213.715.103.026;946.292.534.473.094;154.474.714.898.504;69.45;26.245;3226.2
01-08-09;-0.004;546.884.285.714.286;95.154.985.686.176;74.296.836.263.024;61.220.001.666.008;64.408.996.610.625;71.648.946.164.777;0.005;205.431.335.374.312;951.436.313.218.598;155.560.014.473.188;69.96;2.821;3175.18
01-09-09;0.01;549.070.952.380.952;99.065.534.437.377;73.624.870.466.054;61.155.917.446.178;61.040.649.235.554;69.490.699.749.467;0.005;21.293.590.458.013;938.989.107.096.699;154.537.350.523.165;70.61;2.819;3372.86
01-10-09;0;545.832.857.142.857;10.261.789.461.204;81.003.129.862.508;65.281.199.556.073;68.993.759.961.684;73.514.829.387.372;0.005;213.746.271.026.236;932.337.305.896.102;153.270.802.311.796;77;29.605;3314.45
01-11-09;-0.005;507.781.428.571.429;99.973.187.068.413;79.688.596.755.946;67.711.968.030.468;69.765.958.131.725;75.891.215.370.531;0.005;214.361.004.978.352;927.886.923.031.522;153.751.734.654.174;77.28;3.168;3255.32
01-12-09;-0.003;501.45;10.680.381.786.707;82.904.887.882.336;78.801.800.003.875;84.970.301.895.284;71.794.389.433.637;0.005;231.706.508.462.746;947.275.266.096.667;156.305.261.734.427;79.36;33.465;3581.42
01-01-10;0.005;5.006.625;8.665.198.467.412;76.474.609.391.694;8.538.069.420.677;713.822.633.067;6.665.507.254.294;0.005;239.204.999.132.095;961.313.088.005.555;156.933.600.069.432;72.89;30.595;3808.96
01-02-10;0.003;532.557;87.169.448.296.908;72.563.268.015.786;90.240.393.134.784;64.478.064.578.672;62.422.046.988.072;0.005;240.195.603.254.284;966.256.093.127.921;157.846.831.400.381;79.66;3.284;3827.44
01-03-10;0.001;523.162.608.695.652;95.233.283.234.379;71.613.970.550.658;81.821.530.554.552;73.684.145.606.506;72.648.440.239.373;0.005;245.671.048.080.249;976.739.562.435.143;160.117.228.467.658;83.76;3.563;3763.12
01-04-10;0.005;520.624.285.714.286;96.171.315.256.999;79.746.119.827.622;75.158.216.049.769;79.889.168.059.119;74.861.080.874.895;0.005;246.751.592.356.688;97.946.525.219.487;16.099.076.691.341;86.15;33.535;3865.45
01-05-10;0.004;5.332.065;928.461.720.181;79.417.115.668.854;70.025.646.461.892;77.559.881.627.241;7.599.378.525.329;0.005;257.747.855.917.667;990.695.651.801.029;162.300.439.965.695;73.97;3.115;3886.86
01-06-10;0;536.668.095.238.095;10.171.817.515.053;78.350.267.836.775;64.869.606.615.926;71.050.186.635.878;75.921.395.970.955;0.00738095238095238;262.819.897.084.048;988.574.339.622.642;162.646.627.787.307;75.63;29.505;4065.29
01-07-10;0.006;531.721.428.571.429;96.882.859.950.262;78.273.123.522.818;63.134.424.603.837;71.901.177.879.507;71.735.363.918.251;0.0123809523809524;258.143.855.462.758;97.502.087.097.324;159.691.280.893.131;78.95;3.32;4364.15
01-08-10;-0.001;509.324.090.909.091;99.233.642.399.118;81.461.147.338.593;62.734.049.873.645;72.751.397.698.096;77.369.977.363.093;0.0179545454545455;258.027.976.799.727;975.087.973.387.922;15.969.764.073.695;71.92;33.685;4525.01
01-09-10;0.004;493.933;99.609.138.279.638;76.180.493.813.369;62.113.521.151.824;70.316.537.129.284;74.545.239.847.249;0.022;265.909.940.526.763;979.401.282.922.685;162.331.971.962.617;79.97;36.515;4795.38
01-10-10;0.001;4.840.415;1.010.035.249.697;8.326.299.638.594;67.386.357.008.578;7.986.705.239.371;7.896.265.447.178;0.026375;262.247.496.180.615;986.330.071.295.196;16.444.543.286.369;81.43;3.739;4912.53
01-11-10;0.001;482.316.666.666.667;10.242.049.825.141;85.435.656.210.256;70.920.171.921.504;80.289.154.210.183;82.512.059.847.918;0.0286904761904762;260.359.626.802.375;995.856.480.067.854;167.041.458.015.267;84.11;38.255;4956.96
01-12-10;0.001;474.778.095.238.095;10.177.722.709.761;88.349.015.376.765;83.743.575.080.198;97.919.328.535.594;7.763.981.604.052;0.0311904761904762;272.880.379.532.362;10.166.107.167.062;169.770.017.790.579;91.38;4.447;4927.53
01-01-11;0.003;489.440.952.380.952;88.242.785.692.941;8.218.841.839.698;94.346.658.068.631;81.210.056.275.825;71.443.687.248.816;0.0325;278.570.462.994.255;102.825.368.367.692;172.822.664.751.605;92.19;44.635;4673.07
